source,source.label,sample,chemistry,injury,injury.days,injury.agent,age,age.months,is.FACS,is.whole.muscle,material,type,tissue,mouse.strain,sex,mice.per.sample,SRR.accession,Sequencing.Instrument,Estimated.Number.of.Cells,Mean.Reads.per.Cell,Median.Genes.per.Cell,Number.of.Reads,Valid.Barcodes,Sequencing.Saturation,Q30.Bases.in.Barcode,Q30.Bases.in.RNA.Read,Q30.Bases.in.UMI,Reads.Mapped.to.Genome,Reads.Mapped.Confidently.to.Genome,Reads.Mapped.Confidently.to.Intergenic.Regions,Reads.Mapped.Confidently.to.Intronic.Regions,Reads.Mapped.Confidently.to.Exonic.Regions,Reads.Mapped.Confidently.to.Transcriptome,Reads.Mapped.Antisense.to.Gene,Fraction.Reads.in.Cells,Total.Genes.Detected,Median.UMI.Counts.per.Cell,soupx.rho
"Giordani et al, Molc Cell, 2019",Giordani 2019,Uninjured_WT_1,10x Genomics v2,D0,0,NA,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Hindlimb Muscles,C57BL/6JN,M,1,SRR8352705,NextSeq 500,6896,74579,1003,514303302,97.3,86,93.5,45.4,91.9,60.3,57.9,3.4,14.7,39.8,37.4,0.9,93.6,18480,2369,0.023
"Giordani et al, Molc Cell, 2019",Giordani 2019,Uninjured_WT_2,10x Genomics v2,D0,0,NA,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Hindlimb Muscles,C57BL/6JN,M,1,SRR8352706,NextSeq 500,6832,72348,NA,494287765,96.4,91.9,92.5,56.8,91.3,79.4,76.4,4.5,19.1,52.9,50.1,1.2,91.6,18222,1798,0.054
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,total_muscle_wt_rep1,10x Genomics v2,D0,0,NA,3mo,3,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6JN,F,1,SRR8602275,HiSeq 3000,2294,157487,1103,361275794,98.1,95.3,97.3,78.7,97,93.9,89.7,4.6,20.2,64.8,62.1,1.2,91.3,17671,2749,0.011
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,total_muscle_wt_rep2,10x Genomics v2,D0,0,NA,3mo,3,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6JN,F,1,SRR8602276,HiSeq 3000,2868,132951,1101,381305415,98.1,94.4,97.8,78.4,97.5,93.8,89.9,4.8,20.4,64.7,61.8,1.2,91.6,18105,2788,0.013
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,homeostatic_MuSCs_rep1,10x Genomics v2,D0,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Tibialis Anterior,C57BL/6JN,M,1,SRR8602277,HiSeq 3000,1738,222371,NA,386480806,97.8,96.5,98,79.3,98,91.4,87.3,4.9,25.6,56.8,53.7,1.6,79.9,14629,2134,NA
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,homeostatic_MuSCs_rep2,10x Genomics v2,D0,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Tibialis Anterior,C57BL/6JN,M,1,SRR8602278,HiSeq 3000,1589,239088,NA,379911198,97.8,96.9,98.1,80.6,97.9,93.1,89.3,4.8,26.3,58.2,55,1.6,78.9,14326,2100,NA
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,inj_60h_MuSCs_rep1,10x Genomics v2,D2.5,2.5,notexin,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Tibialis Anterior,C57BL/6JN,F,1,SRR8602279,HiSeq 3000,1368,315058,1904,430999987,98,95.2,98.9,79.2,99,90.5,80.5,4.4,7.6,68.4,64,2.8,92.1,14908,6596,0.069
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,inj_60h_MuSCs_rep2,10x Genomics v2,D2.5,2.5,notexin,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Tibialis Anterior,C57BL/6JN,F,1,SRR8602280,HiSeq 3000,2360,191799,1109,452646301,97.9,96.4,98.9,80.2,99,90.8,81.1,4.3,8.4,68.4,63.3,3.6,92.7,14669,2819,0.059
"Tabula Muris, Nature, 2018",Tabula Muris 2018,10X_P7_14,10x Genomics v2,D0,0,NA,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6JN,F,1,SRR6835866,NovaSeq 6000,2513,107250,1333,269519806,97.9,90.8,95.2,87.2,97,92.7,88.4,4.4,16.7,67.2,64.6,1.1,94,17952,3999,0.026
"Tabula Muris, Nature, 2018",Tabula Muris 2018,10X_P7_15,10x Genomics v2,D0,0,NA,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6JN,F,1,SRR6835867,NovaSeq 6000,2630,80607,1349,211996837,97.9,88.7,94.8,87.1,96.8,92.8,88.5,4.4,16.6,67.5,64.9,1.1,93.7,17869,3834,0.024
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D0_A,10x Genomics v2,D0,0,NA,7mo,7,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870296,NextSeq 500,3630,63002,NA,228700456,98.2,88.5,96.2,75.2,95.8,86.2,79.8,3.7,9.3,66.9,65.2,0.8,61.9,17950,1803,0.042
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D0_B,10x Genomics v2,D0,0,NA,7mo,7,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870297,NextSeq 500,5685,45167,NA,256778531,98.2,85.9,96.5,78.1,96.1,89.3,82.9,3.3,8.5,71,69.3,0.9,59.2,18250,1746,0.061
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D2_C,10x Genomics v2,D2,2,notexin,7mo,7,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870299,NextSeq 500,5946,24063,1757,143080183,98.2,50.2,96.7,68.4,96.4,83.2,73.8,3,7.7,63.1,60.6,0.9,94,18578,5261,0.026
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D2_D,10x Genomics v2,D2,2,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870300,NextSeq 500,3182,76402,1879,243114255,98,79.3,94.8,78.1,93.1,82.4,72.1,2.9,8.4,60.7,58.3,0.9,92.9,17787,6033,0.014
"De Micheli et al, unpublished",De Micheli 2020b,D2_Ev3,10x Genomics v3,D2,2,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,M,1,SRR12820638,NextSeq 500,4836,43136,2096,208607334,97.7,51,95.7,85.2,95,82.5,76.9,8.5,10.7,57.7,56.1,0.9,74.4,18604,5688,0.029
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D5_A,10x Genomics v2,D5,5,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,M,1,SRR10870301,NextSeq 500,6269,57448,2270,360147131,98.1,68.2,95.6,67.7,95.2,83.7,75.3,3.4,9.4,62.5,60.4,0.8,94.9,20070,7823,0.039
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D5_B,10x Genomics v2,D5,5,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870302,NextSeq 500,7370,29057,2170,214150304,98.1,45.9,96.7,61.1,96.7,81.6,73.3,3.8,9.8,59.7,57.6,0.8,94.9,20068,7025,0.033
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D5_C,10x Genomics v2,D5,5,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,M,1,SRR10870303,NextSeq 500,7257,30180,1926,219020687,98.1,54.2,96.3,67.2,96.1,83.5,75.1,3.6,9.7,61.7,59.6,0.8,94.3,19920,5889,0.033
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D7_C,10x Genomics v2,D7,7,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870304,NextSeq 500,6542,30467,1236,199316776,98.2,73.7,96.8,61.6,96.8,81.9,75,4.5,11.2,59.2,57.3,1,81.7,19189,2644,0.03
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D7_D,10x Genomics v2,D7,7,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870305,NextSeq 500,5307,47153,1572,250241224,98,73.8,94.7,78.8,93.1,82.5,72.9,3.5,10.9,58.5,56.6,0.9,88.7,19530,4286,0.015
"De Micheli et al, unpublished",De Micheli 2020b,D7_Ev3,10x Genomics v3,D7,7,notexin,7mo,7,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,M,1,SRR12820639,NextSeq 500,4889,41971,1686,205196263,97.3,58.6,97,88.9,96.2,80.1,74.5,8.6,13,52.9,51.2,0.9,78.7,19801,4390,0.026
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D0_FACS_01,10x Genomics v2,D0,0,notexin,4mo,4,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870267,NextSeq 500,6678,20358,1127,135955654,98.2,72,95.7,68.4,95.4,83.1,75.3,3.7,10,61.6,59.7,0.9,88,18386,2312,0.022
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D0_FACS_02,10x Genomics v2,D0,0,notexin,4mo,4,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870268,NextSeq 500,6977,47813,1197,333593961,98.4,87.2,96.9,86.1,96.1,88,79.8,3.8,10.6,65.5,63.5,0.9,88.7,18747,2564,0.028
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D2_FACS,10x Genomics v2,D2,2,notexin,7mo,7,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870269,NextSeq 500,7338,62614,1876,459462592,98.2,76.4,96.6,77.4,96.3,87,77.4,2.6,6.8,68,65.5,0.8,93.3,19414,6324,0.039
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D5_FACS,10x Genomics v2,D5,5,notexin,4mo,4,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870270,NextSeq 500,3054,85792,NA,262009279,98.2,93.5,96.9,76.8,96.5,80,71,3.3,8.6,59.2,57.6,0.7,79.5,17335,1417,0.041
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D7_FACS,10x Genomics v2,D7,7,notexin,4mo,4,TRUE,TRUE,cells,FACS (Whole Muscle),Tibialis Anterior,C57BL/6J,M,1,SRR10870271,NextSeq 500,8995,23499,1405,211374617,98.2,62.4,96.7,76.9,96.4,86.5,78.4,3.4,9.6,65.3,63.3,0.9,91.1,19510,3701,0.041
"Walter et al, unpublished",Walter 2020,Old_D0_A,10x Genomics v3,D0,0,NA,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,5566,37052,NA,206233277,97.7,64.9,95.5,86.2,94.8,86.7,82.7,2.7,6.5,73.5,72,0.9,44.7,18731,2723,0.014
"Walter et al, unpublished",Walter 2020,Old_D0_B,10x Genomics v3,D0,0,NA,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,13489,15835,NA,213603503,98.1,47.4,95.6,84.7,93.8,93.5,88.5,2.2,6.2,80.1,78.6,1,49.1,19163,2404,0.046
"Walter et al, unpublished",Walter 2020,Old_D0_C,10x Genomics v3,D0,0,NA,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,11380,21216,NA,241443986,97.8,58.1,96.7,88.4,96.1,87.1,81.2,4,11.9,65.3,63.6,1.1,56.3,19924,2102,0.026
"Walter et al, unpublished",Walter 2020,Old_D0_D,10x Genomics v3,D0,0,NA,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,1967,117596,NA,231312136,97.7,87.4,96.6,87.9,95.8,90,83.7,3.3,9.7,70.7,69,1.1,44.2,17909,2860,0.027
"Walter et al, unpublished",Walter 2020,Old_D1_A,10x Genomics v3,D1,1,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,3499,62181,2210,217571492,97.8,67,96.1,87.2,95,87.3,80.9,4,13.9,63,61,1,79,19074,7065,0.023
"Walter et al, unpublished",Walter 2020,Old_D1_B,10x Genomics v3,D1,1,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,2205,106900,NA,235715851,98,83,96.1,87.6,95.1,86.7,81.5,2.8,8.5,70.2,68.6,0.9,47.7,18178,2909,0.024
"Walter et al, unpublished",Walter 2020,Old_D2_A,10x Genomics v3,D2,2,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,13845,15035,1554,208162289,97.7,28.1,95,83.3,93.5,86.2,79.7,4.9,17.5,57.3,55.3,0.9,93.1,20624,3798,0.035
"Walter et al, unpublished",Walter 2020,Old_D2_B,10x Genomics v3,D2,2,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,5786,34812,2395,201426817,97.2,44.9,95.2,83.2,93.4,86.6,79.7,5,15.3,59.3,57.2,0.9,90.6,20176,7347,0.028
"Walter et al, unpublished",Walter 2020,Old_D2_C,10x Genomics v3,D2,2,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,4293,57751,2151,247925961,97.2,60.4,95.5,87.1,94.2,83.8,77.5,4.6,15.1,57.8,55.7,1.1,76.5,20225,6353,0.017
"Walter et al, unpublished",Walter 2020,Old_D3_5_A,10x Genomics v3,D3.5,3.5,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,4259,55808,3332,237688454,97.7,45.9,96,87,94.9,86.2,79.4,4.3,14.2,60.9,58.7,1,94.2,20632,13781,0.02
"Walter et al, unpublished",Walter 2020,Old_D3_5_B,10x Genomics v3,D3.5,3.5,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,3616,67365,3539,243593946,97.8,48,95.9,86.7,94.9,86,79.2,4.1,13.9,61.1,58.9,1,94.5,20596,15336,0.018
"Walter et al, unpublished",Walter 2020,Old_D5_A,10x Genomics v3,D5,5,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,6732,31101,2119,209372090,97.5,38.3,97,88.1,96.1,78,71.7,4.8,13.5,53.4,51.6,0.8,85.7,20908,6740,0.037
"Walter et al, unpublished",Walter 2020,Old_D5_B,10x Genomics v3,D5,5,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,11124,20921,1809,232733532,97.6,33.1,96.5,86.9,95.7,86.9,80.5,5.8,18.9,55.8,53.9,1,86.7,21272,4762,0.062
"Walter et al, unpublished",Walter 2020,Old_D5_C,10x Genomics v3,D5,5,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,3796,65848,1783,249961550,96.9,62.9,95.4,86.7,94.1,82,76.2,5.8,18.7,51.6,49.7,1.1,77.6,20998,5294,0.028
"Walter et al, unpublished",Walter 2020,Old_D7_A,10x Genomics v3,D7,7,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,8942,26064,1495,233069557,97.7,46.3,96.8,88.2,96.2,85.4,80.2,5.3,18.5,56.4,54.7,1,72.8,20928,3792,0.056
"Walter et al, unpublished",Walter 2020,Old_D7_B,10x Genomics v3,D7,7,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,6109,38144,1719,233027168,97.1,54,95.2,84.6,93.7,88.9,83.1,5.7,18.2,59.2,57.3,1.1,75.6,20901,4936,0.027
"Walter et al, unpublished",Walter 2020,Old_D7_C,10x Genomics v3,D7,7,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,3751,63103,1072,236702546,97.2,71.1,95.5,87.2,94.2,83.3,78.2,4.9,15.6,57.7,55.8,1.1,66.5,20297,4019,0.02
"Walter et al, unpublished",Walter 2020,Old_D1_C,10x Genomics v3,D1,1,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,5545,32843,2483,182115972,98.5,41.7,96,88.2,95.4,88.3,81.2,4.9,15.4,61,59.1,0.9,91.8,20090,7924,0.033
"Walter et al, unpublished",Walter 2020,Old_D1_D,10x Genomics v3,D1,1,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,4718,41147,2535,194135475,98.5,51.6,96.1,88.3,95.4,86.5,79.8,4.2,14,61.6,59.8,0.8,85.9,19766,7990,0.013
"Walter et al, unpublished",Walter 2020,Old_D3_5_C,10x Genomics v3,D3.5,3.5,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,9124,30251,2607,276014267,98.2,33.5,96.1,88.5,95.4,87.3,80.5,4.1,15.6,60.8,58.8,0.8,94.8,21194,8483,0.047
"Walter et al, unpublished",Walter 2020,Old_D3_5_D,10x Genomics v3,D3.5,3.5,notexin,20mo,20,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,,NextSeq 500,6077,34070,2678,207044802,98.5,37,96.1,88.7,95.4,86.2,79.2,3.8,13.9,61.5,59.6,0.8,94.7,20663,9678,0.033
"Tabula Muris Senis, Nature, 2020",Tabula Muris Senis 2020,MACA_18m_F_MUSCLE_50,10x Genomics v2,D0,0,NA,18mo,18,FALSE,TRUE,cells,Diss. (Whole Muscle),Hindlimb Muscles,C57BL/6JN,F,1,,NovaSeq 6000,2085,121894,NA,254149968,98.2,94.7,96.5,95,97.7,93.3,88.6,5.3,16.3,66.9,64.1,1.3,91.5,16933,1988,0.007
"Tabula Muris Senis, Nature, 2020",Tabula Muris Senis 2020,MACA_18m_F_MUSCLE_51,10x Genomics v2,D0,0,NA,18mo,18,FALSE,TRUE,cells,Diss. (Whole Muscle),Hindlimb Muscles,C57BL/6JN,F,1,,NovaSeq 6000,1205,184506,1022,222330438,98.1,95.6,96.4,94.9,97.7,93.1,88.2,5.1,16,67.1,64.2,1.3,91.4,16454,2286,0.009
"Tabula Muris Senis, Nature, 2020",Tabula Muris Senis 2020,MACA_18m_M_MUSCLE_52,10x Genomics v2,D0,0,NA,18mo,18,FALSE,TRUE,cells,Diss. (Whole Muscle),Hindlimb Muscles,C57BL/6JN,M,1,,NovaSeq 6000,4698,30176,1049,141769371,97.8,79.2,69.8,91.2,95.7,92.9,88.2,3.6,10.9,73.6,71,1.1,93.6,17554,2584,0.025
"Tabula Muris Senis, Nature, 2020",Tabula Muris Senis 2020,MACA_18m_M_MUSCLE_53,10x Genomics v2,D0,0,NA,18mo,18,FALSE,TRUE,cells,Diss. (Whole Muscle),Hindlimb Muscles,C57BL/6JN,M,1,,NovaSeq 6000,3057,43151,1297,131913570,97.9,81.4,69.9,91.3,95.7,93.3,88.5,3.5,10.4,74.6,72,1.1,92.8,17307,3718,0.021
